review_id,sentence_id,sentence_index,primary_segment,Asin,Brand,Nation,Rating,sentence_polarity,sentiment_type,feature_dimension,feature_tag,matched_keywords,Sentence,Content
14,14_2,2,多表面diy/定制群,B001ANVDMA,posca,US,5,0.0,positive,笔头耐用性,正面-坚固抗损,doesn t break,The tips of the markers are durable and doesn't break easily like other markers I tried.,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
14,14_2,2,多表面diy/定制群,B001ANVDMA,posca,US,5,0.0,negative,笔身与易用性,负面-材质/做工差,break,The tips of the markers are durable and doesn't break easily like other markers I tried.,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
22,22_1,1,儿童/课堂使用群,B001ANVDMA,posca,US,5,0.0,negative,笔身与易用性,负面-材质/做工差,break,These markers do have a “ball” inside of them for the paint/ink to come out easily/gather up and also these markers aren’t made for kids they could break it also you have to use these markers Lightly.,These markers do have a “ball” inside of them for the paint/ink to come out easily/gather up and also these markers aren’t made for kids they could break it also you have to use these markers Lightly.
23,23_1,1,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,场景表现,正面-适合插画创作,art journal,I art journal and use them for that purpose.,"I art journal and use them for that purpose. I love them!!!!! The right colors are in this box, they work easily and enhance your work fantastically! A must have to art journal."
23,23_4,4,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,场景表现,正面-适合插画创作,art journal,A must have to art journal.,"I art journal and use them for that purpose. I love them!!!!! The right colors are in this box, they work easily and enhance your work fantastically! A must have to art journal."
47,47_1,1,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,教育与启发,正面-适合初学者,my first set,"After trying my first set of Uni POSCA pens (in PK-7), I quickly went back on Amazon to get a set in 4 other sizes!","After trying my first set of Uni POSCA pens (in PK-7), I quickly went back on Amazon to get a set in 4 other sizes! I can’t get enough of these. A great combination of quality and value. See the colors on my image on the paper where I have many of the other sizes as well. These 3mm bullet nib pens are the third column in from the left. Can’t recommend these enough. Plus they gave me a little origami & thank you note which was a nice classy touch."
58,58_1,1,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,场景表现,正面-适合插画创作,art journal | art journaling,I use these for art journaling and other art activities.,"I use these for art journaling and other art activities.  They are easy to use, move smoothly across the page, and don't smear once they are dry. Very pleased!"
58,58_2,2,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,笔身与易用性,正面-易于使用,easy to use,"They are easy to use, move smoothly across the page, and don't smear once they are dry.","I use these for art journaling and other art activities.  They are easy to use, move smoothly across the page, and don't smear once they are dry. Very pleased!"
58,58_2,2,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,0.0,positive,教育与启发,正面-适合初学者,easy to use,"They are easy to use, move smoothly across the page, and don't smear once they are dry.","I use these for art journaling and other art activities.  They are easy to use, move smoothly across the page, and don't smear once they are dry. Very pleased!"
63,63_2,2,多表面diy/定制群,B001ANVDMA,posca,US,3,0.0,negative,笔头耐用性,负面-寿命不匹配,dried out,I barely got to use them before they were dried out.,"The white and black markers didn't even work.  I barely got to use them before they were dried out.  Other than that, they work well on the rocks we painted and were easy to draw with.  Not happy about the two main colors i needed not working but what can you do once you get them?"
