review_id,primary_segment,Asin,Brand,Nation,Rating,pain_dimension,pain_tag,matched_keywords,Content
14,多表面diy/定制群,B001ANVDMA,posca,US,5,色彩饱和度与混合,负面-暗淡/褪色,pale,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
14,多表面diy/定制群,B001ANVDMA,posca,US,5,笔身与易用性,负面-材质/做工差,break,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
22,儿童/课堂使用群,B001ANVDMA,posca,US,5,笔身与易用性,负面-材质/做工差,break,These markers do have a “ball” inside of them for the paint/ink to come out easily/gather up and also these markers aren’t made for kids they could break it also you have to use these markers Lightly.
29,精细绘画/插画创作群,B001ANVDMA,posca,US,5,色彩饱和度与混合,负面-暗淡/褪色,pale,These paints work really well and they are thick. Limited palette means I'll have to rethink future illustrations but that's apart of the challenge. I enjoy using them on watercolor paper but they are versatile and don't bleed.
63,多表面diy/定制群,B001ANVDMA,posca,US,3,笔头耐用性,负面-寿命不匹配,dried out,"The white and black markers didn't even work.  I barely got to use them before they were dried out.  Other than that, they work well on the rocks we painted and were easy to draw with.  Not happy about the two main colors i needed not working but what can you do once you get them?"
75,精细绘画/插画创作群,B001ANVDMA,posca,US,5,色彩饱和度与混合,负面-遮盖力差/透明,watery,"these are fantastic for fine detail in smaller paintings or sketches<br>very opaque<br>a couple of pigments were very watery at first, but then the colour got thicker<br>love them and will definitely re-purchase"
117,多表面diy/定制群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,expensive,"Although a bit more expensive than other acrylics, well worth the money as they are ahead of the rest in quality.  I have used them on paper, cardboard, and windows but mostly on rocks and they are incredible."
123,儿童/课堂使用群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,expensive,"These markers are very expensive, but very good quality for a young artist. Would not recommend for small children or just to buy. Would purchase again if needed."
164,精细绘画/插画创作群,B001ANVDMA,posca,US,1,性价比,负面-价格昂贵,expensive,I bought these as WATERPROOF and they totally water soluble!  I ruined an expensive needlepoint canvas by using these to change a few details on the canvas as I found them to run terribly after they were dry.  Run away!!!!!!
296,多表面diy/定制群,B001ANVDMA,posca,US,5,笔头耐用性,负面-寿命不匹配,dry out,"These are awesome for drawing on surfaces other than paper.  We used all summer to draw on rocks and create really cool pebble people and characters.  Easy to use, and don't seem to dry out."
332,精细绘画/插画创作群,B001ANVDMA,posca,US,5,笔身与易用性,负面-握持不适,too wide,"I love these pens! The colors are vibrant, and the fine point allows you to create those little details that you'd never get with a brush. I'm pretty sure I saw ""extra fine point"" somewhere, which I hope exists, as I'd love to make even smaller marks with them sometimes. I purchased the medium point as well, but they're a bit too wide, even though the quality is there.Overall, if you're a mixed media artist looking to create those fine details with paint, you can't go wrong with this set."
340,多表面diy/定制群,B001ANVDMA,posca,US,1,笔头耐用性,负面-寿命不匹配,dried out,all the pens seemed to be dried out.  One of them broke and the tip came right out.  I did get a refund. but was hoping I could use these pens for rock painting.  my next purchase will be at Hobby Lobby or even Walmart
426,精细绘画/插画创作群,B001ANVDMA,posca,US,5,笔头耐用性,负面-磨损/分叉,fray,"We use these paint pens for our hobby of painting smooth river stones, and they are terrific.  The tips are firm and don't fray.  The only caution I would give is that you get the best and smoothest line if you 'pull' the pen toward you.  If you 'push' the line away from you (as you would if you're writing the letter ""O""), you will get some feathering unless you ease up on the pressure.  Or, if you are drawing, just turn the stone so you are drawing the pen toward you rather than pushing it away from you.We have these pens in the Extra Fine point, the Fine point, and the Medium point, and we seldom use the tiny brushes anymore.  These pens allow us (and even our 92 year old Nana) to do fine detail work, and we love them!Note:  We always put a spray coat of sealer on our stones to protect the artwork."
444,儿童/课堂使用群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,expensive,Popular pens with my students… but just too expensive to hand out freely
465,多表面diy/定制群,B001ANVDMA,posca,US,4,流畅性,负面-出墨过多/漏墨,blotchy,I just got these today so I haven't used them very much but I love them!!I bought these to use to paint rocks and they work perfectly. The tip is the perfect size. It's fine point but not so fine that it's like a pen.The paint in these markers is very smooth. It dries pretty fast although it will smear. One thing I don't like is that it dries a little too fast for me while trying to paint in a large area so it leaves the painted area looking slightly blotchy. It does take a second coat well however.Overall I think that these are very good paint markers and I definitely recommend them!! I also ordered the Extra Fine Point Uni-Posca Paint Marker Pens and I can't wait for those to get here!!
465,多表面diy/定制群,B001ANVDMA,posca,US,4,绘画表现,负面-涂色不均,blotchy,I just got these today so I haven't used them very much but I love them!!I bought these to use to paint rocks and they work perfectly. The tip is the perfect size. It's fine point but not so fine that it's like a pen.The paint in these markers is very smooth. It dries pretty fast although it will smear. One thing I don't like is that it dries a little too fast for me while trying to paint in a large area so it leaves the painted area looking slightly blotchy. It does take a second coat well however.Overall I think that these are very good paint markers and I definitely recommend them!! I also ordered the Extra Fine Point Uni-Posca Paint Marker Pens and I can't wait for those to get here!!
514,多表面diy/定制群,B001ANVDMA,posca,US,4,墨水特性,负面-消耗快,runs out quickly,Great colors and good coverage.  We've been using them to paint rocks and have loved the results.  My only complaint is that they do not last long.  I'm not sure if the paint just runs out quickly or they dry up.
532,多表面diy/定制群,B001ANVDMA,posca,US,5,性价比,负面-价格昂贵,expensive,"I bought lots of paint pens.  These are much more expensive, but TOP OF THE LINE, and worth it for Art work,  I don’t use these for rock painting.  These are quality shiny finish.  I use them on ceramics.They can be refilled.  Google a YouTube video"
687,多表面diy/定制群,B001ANVDMA,posca,US,5,墨水特性,负面-气味难闻,strong smell,"I love these markers!! Am using them to paint on rocks, and they are very handy! Great colors, no blobs, no strong smell! Just what I wanted."
790,精细绘画/插画创作群,B001ANVDMA,posca,US,5,墨水特性,负面-消耗快,run out of paint,These are great for painting rocks and making fine details.  So much easier than cleaning actual paint and brushes and they go on the rocks easy and very vibrant color.  I have had these for awhile and they have yet to run out of paint.  They also blend and dry very quickly.
791,纸面手账/装饰书写群,B001ANVDMA,posca,US,5,笔头耐用性,负面-寿命不匹配,dried out,"I love Posca pens! I already had a thicker tip set but wanted these thinner ones too. I’ve had my other set for over a year and the tips have not dried out like other types of paint pens do. These are great for adding details to paintings - you can make marks on top of any type of media (acrylic, watercolor, gouache). The tips don’t get ruined from writing on top of acrylic paint like sharpie markers do (I use those too). The colors are great too!Update: it has been nearly 3 years and most of my pens are still going strong. That’s amazing! I still recommend these pens. Get yourself some today for all your mixed media and/or lettering needs."
845,填色/大面积上色群,B001ANVDMA,posca,US,4,色彩饱和度与混合,负面-暗淡/褪色,pale,"Hello everyone! My name is Aspen, @Paraslider on Twitter, I'm an artist and animator entering college this year, and I'd like to say I've been using these for 2 years now and they still work fine to this day. Some problems arose with the paint itself, which I'll get into later.For now, I'll start off with a brief introduction to how these pens work. Posca pens are notable for their usage in graffiti and street art, so the pen nibs are pretty much made to go through the wringer. As long as the surface you're going on isn't *too* toothy, like a broken brick or something, you can expect the nib to last a while. That being said; if you plan to use these on any kind of paper, expect the paper to pill. Pilling is the result of the pen nib being so abrasive on the paper's surface that it rips up the paper's surface/tooth. It won't destroy the paper by any means if it's watercolor paper or heavier weight paper, but printer paper is never ideal for these. The way you activate these is fairly simple-- you just press the nib down on a surface a bunch until the paint fills the nib, alternating between shaking the pen (cap on, of course) and pumping the nib like crazy until you get a nice, clean, consistent stroke.Let it be known, though, you will be shaking these pens a lot. I don't want to understate this in the slightest. You will spend a lot of time shaking these pens. If your batch is particularly fussy, hours even. When I tell you I've spent upwards of an hour or two just shaking and pumping my pens for the second piece of art in particular, please believe me there. Once that's done, you should be smoothly sailing. If not, I can only refer you to Kasey Golden's posca pen videos on YouTube for troubleshooting and tips.For clarity, I'll describe the processes behind each of these art pieces, as the size you're working on and the surface material matters greatly.1- The first painting (the side profile of my OC, grey background) is something I was able to do with just this 15 pen set, and it was my first go with these, done around late 2018. Watercolor paper, 7x7 inch size if I remember correctly, and yes, the paper pilled here and there. It wasn't at all a distraction or a major flaw of the markers, and it turned out perfectly fine. It sort of feels like eraser shavings, and if you like the texture the pilling produces, feel free to keep it! if not, it's really easy to wipe off after the paint dries.As can be seen, with just the base 15 markers, a lot can be done. If you're looking for a challenge and can work in a limited color palette, this set can take you far. The colors dry opaque and are super vibrant as expected. The coverage, especially for 3M size, is really nice and it dries down smooth and matte, no streaks abound. Poscas are renowned for their ability to create flat, sleek color blocks, so if that's your thing, you'll love these.2- This next piece (pattern background, 4 characters) was a lot larger than the first one, and was done on a 16x20 inch canvas and it was completed around a month or two ago. It's clear that I expanded the color count here, and you can totally buy different colors of posca pens on amazon for relatively cheap if you get them in packs. Individual pens, however, tend to be a lot pricier and more of a hassle to get, like 6-10 bucks a pop. Unlike the paper, there was no pilling at all on a canvas surface and was overall a much smoother experience. It took a bit of getting used to the canvas's surface, but it was a really fun project regardless.Aside from all the troubleshooting I had to do.You see, herein lies my major point of contention with these paint pens, but I'm sure this isn't just limited to posca, but all paint pens in general. I was painting this on an angle, and the canvas was stationed on an easel. Because of gravity, you can expect some of your pens to go rogue on you. They may appear to dry out or get streaky, but this is just due to the orientation of your canvas. This can typically be fixed by pumping the nib and shaking, but I will admit even after a while of this, some pens just don't want to cooperate. Some might stay watery, and others might stay streaky, and some might just die on you, and that's when I suggest a replacement. For instance, the navy blue and regular blue colors here were really temperamental, but after some deep, mindful, therapeutic thoughts such as ""goddamnit, please let me finish this before these die on me"" I was able to power through. Don't give up on your pens because they're showing signs of wear, because there's a chance they might still work/can be revived.TL:DR; These pens are spectacular for any artist of any skill level, but they aren't perfect and have some flaws. The orientation of the pen and your canvas affects the flow of the paint. In general, you won't see these problems with a majority of your pens, but every once in a while this may occur to a few in your batch. These are lovely for color laydown and produce consistent vibrant hues. They are definitely an investment though, so consider how you intend to use them and if it's worth the cost. These will make a lovely gift for any artist or creative!"
