segment,attr_group_key,attr_group_label,attr_item_key,attr_item_label,pct
总体,motivation,购买动机,gift_beginner,礼赠/入门,0.05628868784436433
总体,motivation,购买动机,value_price,性价比,0.11298551118971499
总体,motivation,购买动机,pro_need,专业需求,0.03197061424392898
总体,motivation,购买动机,fun_relax,兴趣/放松,0.056662812053601797
总体,scene,使用场景,child_classroom,亲子/课堂,0.13655533637167538
总体,scene,使用场景,multi_surface_diy,多介质DIY,0.07213794979933338
总体,scene,使用场景,paper_journal,纸面/手帐,0.01479491191075437
总体,scene,使用场景,illustration_detail,插画/细节,0.060404054145976466
总体,surface,使用介质,paper,纸张,0.06196857356642405
总体,surface,使用介质,wood,木材,0.03329705462213455
总体,surface,使用介质,rock,石头,0.11206720631249575
总体,surface,使用介质,glass,玻璃,0.026358751105366982
总体,surface,使用介质,ceramic,陶瓷,0.014896945786000952
总体,surface,使用介质,fabric,布面,0.017243724916672334
总体,expression,创作表达方式,fine_detail,精细细节,0.05642473301135977
总体,expression,创作表达方式,lettering,手写/字艺,0.02785524794231685
总体,expression,创作表达方式,fill_color,填色/大面积,0.05309162641997143
总体,expression,创作表达方式,decorate_project,装饰/改造,0.022753554179987756
总体,buying_factor,关键购买因素,coverage_opacity,覆盖力,0.06179851710767975
总体,buying_factor,关键购买因素,color_variety,色彩丰富,0.034623495000340114
总体,buying_factor,关键购买因素,tip_control,笔尖控制,0.13090946194136455
总体,buying_factor,关键购买因素,multi_surface,多表面适用,0.1825726141078838
总体,buying_factor,关键购买因素,price_value,价格价值,0.058091286307053944
总体,risk,风险关注点,leak_flow,漏墨/出墨异常,0.032650840078906194
总体,risk,风险关注点,dry_clog,干笔/堵塞,0.08557241004013333
总体,risk,风险关注点,color_mismatch,色差/颜色不准,0.0001360451669954425
总体,risk,风险关注点,tip_durability,笔头耐久问题,0.0015985307121964493
亲子陪伴创作群,motivation,购买动机,gift_beginner,礼赠/入门,0.1548329355608592
亲子陪伴创作群,motivation,购买动机,value_price,性价比,0.0733890214797136
亲子陪伴创作群,motivation,购买动机,pro_need,专业需求,0.03937947494033413
亲子陪伴创作群,motivation,购买动机,fun_relax,兴趣/放松,0.07816229116945107
亲子陪伴创作群,scene,使用场景,child_classroom,亲子/课堂,0.9809069212410502
亲子陪伴创作群,scene,使用场景,multi_surface_diy,多介质DIY,0.04862768496420048
亲子陪伴创作群,scene,使用场景,paper_journal,纸面/手帐,0.0029832935560859188
亲子陪伴创作群,scene,使用场景,illustration_detail,插画/细节,0.008651551312649164
亲子陪伴创作群,surface,使用介质,paper,纸张,0.06175417661097852
亲子陪伴创作群,surface,使用介质,wood,木材,0.012231503579952268
亲子陪伴创作群,surface,使用介质,rock,石头,0.09427207637231504
亲子陪伴创作群,surface,使用介质,glass,玻璃,0.010739856801909307
亲子陪伴创作群,surface,使用介质,ceramic,陶瓷,0.017899761336515514
亲子陪伴创作群,surface,使用介质,fabric,布面,0.014021479713603818
亲子陪伴创作群,expression,创作表达方式,fine_detail,精细细节,0.007458233890214797
亲子陪伴创作群,expression,创作表达方式,lettering,手写/字艺,0.014916467780429593
亲子陪伴创作群,expression,创作表达方式,fill_color,填色/大面积,0.0256563245823389
亲子陪伴创作群,expression,创作表达方式,decorate_project,装饰/改造,0.050119331742243436
亲子陪伴创作群,buying_factor,关键购买因素,coverage_opacity,覆盖力,0.0220763723150358
亲子陪伴创作群,buying_factor,关键购买因素,color_variety,色彩丰富,0.021181384248210023
亲子陪伴创作群,buying_factor,关键购买因素,tip_control,笔尖控制,0.08174224343675418
亲子陪伴创作群,buying_factor,关键购买因素,multi_surface,多表面适用,0.13752983293556087
亲子陪伴创作群,buying_factor,关键购买因素,price_value,价格价值,0.009844868735083532
亲子陪伴创作群,risk,风险关注点,leak_flow,漏墨/出墨异常,0.02058472553699284
亲子陪伴创作群,risk,风险关注点,dry_clog,干笔/堵塞,0.06354415274463007
亲子陪伴创作群,risk,风险关注点,color_mismatch,色差/颜色不准,0.0002983293556085919
亲子陪伴创作群,risk,风险关注点,tip_durability,笔头耐久问题,0.0002983293556085919
价格价值评估群,motivation,购买动机,gift_beginner,礼赠/入门,0.030712530712530713
价格价值评估群,motivation,购买动机,value_price,性价比,1.0
价格价值评估群,motivation,购买动机,pro_need,专业需求,0.053644553644553644
价格价值评估群,motivation,购买动机,fun_relax,兴趣/放松,0.05446355446355446
价格价值评估群,scene,使用场景,child_classroom,亲子/课堂,0.08230958230958231
价格价值评估群,scene,使用场景,multi_surface_diy,多介质DIY,0.021294021294021293
价格价值评估群,scene,使用场景,paper_journal,纸面/手帐,0.004095004095004095
价格价值评估群,scene,使用场景,illustration_detail,插画/细节,0.031122031122031123
价格价值评估群,surface,使用介质,paper,纸张,0.06838656838656838
价格价值评估群,surface,使用介质,wood,木材,0.012285012285012284
价格价值评估群,surface,使用介质,rock,石头,0.039721539721539724
价格价值评估群,surface,使用介质,glass,玻璃,0.013104013104013105
价格价值评估群,surface,使用介质,ceramic,陶瓷,0.005323505323505323
价格价值评估群,surface,使用介质,fabric,布面,0.011056511056511056
价格价值评估群,expression,创作表达方式,fine_detail,精细细节,0.018837018837018837
价格价值评估群,expression,创作表达方式,lettering,手写/字艺,0.02620802620802621
价格价值评估群,expression,创作表达方式,fill_color,填色/大面积,0.060196560196560195
价格价值评估群,expression,创作表达方式,decorate_project,装饰/改造,0.012694512694512694
价格价值评估群,buying_factor,关键购买因素,coverage_opacity,覆盖力,0.09377559377559377
价格价值评估群,buying_factor,关键购买因素,color_variety,色彩丰富,0.05855855855855856
价格价值评估群,buying_factor,关键购买因素,tip_control,笔尖控制,0.15601965601965603
价格价值评估群,buying_factor,关键购买因素,multi_surface,多表面适用,0.09090909090909091
价格价值评估群,buying_factor,关键购买因素,price_value,价格价值,0.595004095004095
价格价值评估群,risk,风险关注点,leak_flow,漏墨/出墨异常,0.03521703521703522
价格价值评估群,risk,风险关注点,dry_clog,干笔/堵塞,0.1208026208026208
价格价值评估群,risk,风险关注点,color_mismatch,色差/颜色不准,0.0004095004095004095
价格价值评估群,risk,风险关注点,tip_durability,笔头耐久问题,0.002457002457002457
多介质DIY项目群,motivation,购买动机,gift_beginner,礼赠/入门,0.04806408544726302
多介质DIY项目群,motivation,购买动机,value_price,性价比,0.06770932672134274
多介质DIY项目群,motivation,购买动机,pro_need,专业需求,0.035285142094220866
多介质DIY项目群,motivation,购买动机,fun_relax,兴趣/放松,0.08048827007438489
多介质DIY项目群,scene,使用场景,child_classroom,亲子/课堂,0.06675567423230974
