review_id,Asin,Brand,Nation,Rating,Content,primary_segment,segment_core_hits,segment_aux_hits,segment_total_hits,segment_score,segment_score_gap,segment_confidence,segment_core_evidence,segment_aux_evidence,出墨方式,Price Level,ATTR__绘画主题__人物,ATTR__绘画主题__植物/自然,ATTR__绘画主题__装饰物/器物,ATTR__绘画主题__动物,ATTR_TOP__绘画主题,ATTR_TOP_SCORE__绘画主题,ATTR_TOP_HINT__绘画主题,ATTR_TOP_MATCHED__绘画主题,ATTR_TOP_MATCHED_HINT__绘画主题,ATTR_TOP_DISPLAY__绘画主题,ATTR_MENTIONED__绘画主题,ATTR__绘画场景__课堂/学习,ATTR__绘画场景__家庭/个人,ATTR__绘画场景__户外/社区装饰,ATTR__绘画场景__工作室/商业制作,ATTR_TOP__绘画场景,ATTR_TOP_SCORE__绘画场景,ATTR_TOP_HINT__绘画场景,ATTR_TOP_MATCHED__绘画场景,ATTR_TOP_MATCHED_HINT__绘画场景,ATTR_TOP_DISPLAY__绘画场景,ATTR_MENTIONED__绘画场景,ATTR__购买动机__入门学习,ATTR__购买动机__提升技能,ATTR__购买动机__专业产出,ATTR__购买动机__兴趣爱好,ATTR__购买动机__礼品需求,ATTR__购买动机__品牌信任,ATTR__购买动机__社交/媒体种草,ATTR__购买动机__便携性需求,ATTR__购买动机__多功能需求,ATTR__购买动机__压力缓解/情绪调节,ATTR_TOP__购买动机,ATTR_TOP_SCORE__购买动机,ATTR_TOP_HINT__购买动机,ATTR_TOP_MATCHED__购买动机,ATTR_TOP_MATCHED_HINT__购买动机,ATTR_TOP_DISPLAY__购买动机,ATTR_MENTIONED__购买动机,ATTR__使用对象__儿童,ATTR__使用对象__青少年/学生,ATTR__使用对象__成人,ATTR__使用对象__老年人,ATTR_TOP__使用对象,ATTR_TOP_SCORE__使用对象,ATTR_TOP_HINT__使用对象,ATTR_TOP_MATCHED__使用对象,ATTR_TOP_MATCHED_HINT__使用对象,ATTR_TOP_DISPLAY__使用对象,ATTR_MENTIONED__使用对象,ATTR__介质偏好__纸张/卡纸,ATTR__介质偏好__深色纸,ATTR__介质偏好__木材,ATTR__介质偏好__石头/岩石,ATTR__介质偏好__玻璃,ATTR__介质偏好__陶瓷,ATTR__介质偏好__画布,ATTR__介质偏好__布料,ATTR__介质偏好__鞋类/皮革,ATTR__介质偏好__塑料,ATTR__介质偏好__金属,ATTR__介质偏好__树脂/黏土,ATTR__介质偏好__黑板/光滑特殊表面,ATTR_TOP__介质偏好,ATTR_TOP_SCORE__介质偏好,ATTR_TOP_HINT__介质偏好,ATTR_TOP_MATCHED__介质偏好,ATTR_TOP_MATCHED_HINT__介质偏好,ATTR_TOP_DISPLAY__介质偏好,ATTR_MENTIONED__介质偏好,ATTR__产品期望__颜色表现,ATTR__产品期望__覆盖显色,ATTR__产品期望__流畅出墨,ATTR__产品期望__耐用寿命,ATTR__产品期望__安全/气味,ATTR__产品期望__包装/收纳,ATTR__产品期望__便携性,ATTR__产品期望__性价比,ATTR__产品期望__多功能性,ATTR__产品期望__效率/快干,ATTR_TOP__产品期望,ATTR_TOP_SCORE__产品期望,ATTR_TOP_HINT__产品期望,ATTR_TOP_MATCHED__产品期望,ATTR_TOP_MATCHED_HINT__产品期望,ATTR_TOP_DISPLAY__产品期望,ATTR_MENTIONED__产品期望,NEG__颜色种类,POS__颜色种类,NEG__色彩一致性,POS__色彩一致性,NEG__色彩饱和度与混合,POS__色彩饱和度与混合,NEG__色系评价,POS__色系评价,NEG__笔头表现,POS__笔头表现,NEG__笔头耐用性,POS__笔头耐用性,NEG__流畅性,POS__流畅性,NEG__墨水特性,POS__墨水特性,NEG__笔身与易用性,POS__笔身与易用性,NEG__绘画表现,POS__绘画表现,NEG__场景表现,POS__场景表现,NEG__表面/介质表现,POS__表面/介质表现,NEG__外观与包装,POS__外观与包装,NEG__多样性与适配性,POS__多样性与适配性,NEG__教育与启发,POS__教育与启发,NEG__特殊用途,POS__特殊用途,NEG__性价比,POS__性价比,NEG__配套与服务(色卡),POS__配套与服务(色卡),NEG__购买与服务体验,POS__购买与服务体验,NEG__容量,POS__容量
6,B001ANVDMA,posca,US,5,love them for rocks,多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,1,"on rock, on rocks, rock painting, painting rocks",rocks,rocks,"石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,B001ANVDMA,posca,US,5,"I really like these pens so far, I am using them to paint rocks. I haven't had them for very long, but so far they work great!!!",多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,2,"on rock, on rocks, rock painting, painting rocks",paint rocks | rocks,"paint rocks, rocks","石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,B001ANVDMA,posca,US,5,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project.",多表面diy/定制群,1,1,2,4,4,high,on wood,plastic,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,1,0,0,0,0,品牌信任,1,"trusted brand, good reputation, well known brand, always reliable",posca,posca,"品牌信任（trusted brand, good reputation, well known brand, always reliable）",1,0,0,0,0,未提及,0,,,,未提及,0,0,0,1,0,0,0,0,0,0,1,0,0,0,木材,2,"on wood, wood, on wooden, wood crafts",on wood | on wooden,"on wood, on wooden","木材（on wood, wood, on wooden, wood crafts）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,B001ANVDMA,posca,US,5,"Chose this because of the reviews for painting rocks.  So far, the color turns out MUCH better than (don’t laugh) at least 11 other types of markers I have and have tried.  I will probably polyurethane these since they will scratch off on non- pourus materials.  The oil paints are more permanent and show well but take longer to dry, are wider & much harder & messier to work with.  That’s why I’d prefer to just polyurethane.Will Update later!",多表面diy/定制群,0,1,1,1,1,low,,rocks,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,2,"on rock, on rocks, rock painting, painting rocks",painting rocks | rocks,"painting rocks, rocks","石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B001ANVDMA,posca,US,5,These markers do have a “ball” inside of them for the paint/ink to come out easily/gather up and also these markers aren’t made for kids they could break it also you have to use these markers Lightly.,儿童/课堂使用群,1,1,2,4,4,high,for kids,kids,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,儿童,1,"kid, kids, child, children",kids,kids,"儿童（kid, kids, child, children）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,B001ANVDMA,posca,US,5,"I art journal and use them for that purpose. I love them!!!!! The right colors are in this box, they work easily and enhance your work fantastically! A must have to art journal.",纸面手账/装饰书写群,1,1,1,4,4,high,journal,journal,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,1,0,0,0,0,包装/收纳,1,"beautiful packaging, nice box, storage case, travel case",box,box,"包装/收纳（beautiful packaging, nice box, storage case, travel case）",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,B001ANVDMA,posca,US,5,"sono perfetti e originali, spediti da Kyoto in Giappone. Ho letto una precedente recensione che dice che sono cinesi, non è vero, sulla confezione è espressamente indicato il mittente ""From Takuya Inonue kyoto Japan"" inoltre fa fede il timpro postale che evidenzia la città di spedizione e la nazione nipponica. La scatola come quella della foto è inviata in una busta imbottita con plastica e bolle d'aria e all'interno un foglio con gli estremi dell'ordine e del prodotto acquistato con testi in italiano. A scanso di equivoci preciso che si tratta dei pennarelli con punta sottile e non quelli con punta grossa, per me sono l'ideale. la consegna è stata effettuata con un anticipo di due settimane rispetto al previsto!",多表面diy/定制群,1,0,1,3,3,high,on plastic,,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,1,0,0,0,塑料,1,"on plastic, plastic, plastic models, plastic ornaments",on plastic,on plastic,"塑料（on plastic, plastic, plastic models, plastic ornaments）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,B001ANVDMA,posca,US,3,"I LOVE these paint markers but the first time I used the blue one it exploded ink all over my project. It was a silly rock project to try out the markers, so not super important. If that had happened on a canvas I'd have cried.",多表面diy/定制群,0,1,1,1,1,low,,rock,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,0,0,0,0,0,0,入门学习,1,"starter kit, starter set, for beginners, beginner friendly",first time,first time,"入门学习（starter kit, starter set, for beginners, beginner friendly）",1,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,1,0,0,1,0,0,0,0,0,0,画布,1,"on canvas, canvas, canvas board, stretched canvas",canvas,canvas,"画布（on canvas, canvas, canvas board, stretched canvas）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B001ANVDMA,posca,US,5,"After trying my first set of Uni POSCA pens (in PK-7), I quickly went back on Amazon to get a set in 4 other sizes! I can’t get enough of these. A great combination of quality and value. See the colors on my image on the paper where I have many of the other sizes as well. These 3mm bullet nib pens are the third column in from the left. Can’t recommend these enough. Plus they gave me a little origami & thank you note which was a nice classy touch.",纸面手账/装饰书写群,0,1,1,1,1,low,,note,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,0,1,0,0,0,0,入门学习,1,"starter kit, starter set, for beginners, beginner friendly",my first set,my first set,"入门学习（starter kit, starter set, for beginners, beginner friendly）",1,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,0,0,0,0,0,0,0,0,0,纸张/卡纸,1,"on paper, paper, marker paper, bristol",paper,paper,"纸张/卡纸（on paper, paper, marker paper, bristol）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,B001ANVDMA,posca,US,5,Bought for my daughter to paint rocks for the #kindnessrocksproject and they work great. Will purchase again.,儿童/课堂使用群,1,0,1,3,2,high,for my daughter,,阀门式,(1.67-2.12),0,0,0,0,未提及,0,,,,未提及,0,0,1,0,0,家庭/个人,1,"for my kids, my kids, for fun, home project",my daughter,my daughter,"家庭/个人（for my kids, my kids, for fun, home project）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,1,0,0,0,儿童,1,"kid, kids, child, children",for my daughter,for my daughter,"儿童（kid, kids, child, children）",1,0,0,0,1,0,0,0,0,0,0,0,0,0,石头/岩石,2,"on rock, on rocks, rock painting, painting rocks",paint rocks | rocks,"paint rocks, rocks","石头/岩石（on rock, on rocks, rock painting, painting rocks）",1,0,0,0,0,0,0,0,0,0,0,未提及,0,,,,未提及,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
