primary_segment,pain_dimension,neg_mentions,pos_mentions,review_count,hit_reviews,neg_rate,avg_rating
儿童/课堂使用群,性价比,48,75,1173,112,0.04092071611253197,4.473214285714286
儿童/课堂使用群,笔头耐用性,37,27,1173,64,0.03154305200341006,4.234375
儿童/课堂使用群,流畅性,31,61,1173,88,0.026427962489343565,4.613636363636363
儿童/课堂使用群,色彩饱和度与混合,23,48,1173,66,0.0196078431372549,4.4393939393939394
儿童/课堂使用群,绘画表现,17,40,1173,54,0.014492753623188406,4.2592592592592595
儿童/课堂使用群,笔身与易用性,16,109,1173,124,0.013640238704177323,4.67741935483871
儿童/课堂使用群,墨水特性,11,69,1173,78,0.00937766410912191,4.4743589743589745
儿童/课堂使用群,表面/介质表现,7,3,1173,9,0.005967604433077579,3.888888888888889
儿童/课堂使用群,笔头表现,6,6,1173,12,0.005115089514066497,4.083333333333333
儿童/课堂使用群,教育与启发,3,135,1173,138,0.0025575447570332483,4.826086956521739
儿童/课堂使用群,特殊用途,3,3,1173,6,0.0025575447570332483,3.0
儿童/课堂使用群,购买与服务体验,2,8,1173,10,0.0017050298380221654,4.1
儿童/课堂使用群,容量,2,12,1173,14,0.0017050298380221654,4.0
儿童/课堂使用群,颜色种类,1,22,1173,23,0.0008525149190110827,4.391304347826087
儿童/课堂使用群,色彩一致性,1,7,1173,8,0.0008525149190110827,3.625
儿童/课堂使用群,场景表现,1,33,1173,34,0.0008525149190110827,4.794117647058823
儿童/课堂使用群,色系评价,0,6,1173,6,0.0,4.833333333333333
儿童/课堂使用群,外观与包装,0,9,1173,9,0.0,4.333333333333333
儿童/课堂使用群,多样性与适配性,0,4,1173,4,0.0,3.25
填色/大面积上色群,流畅性,33,22,235,52,0.14042553191489363,4.480769230769231
填色/大面积上色群,笔头耐用性,12,4,235,16,0.05106382978723404,4.0
填色/大面积上色群,笔身与易用性,8,21,235,27,0.03404255319148936,4.37037037037037
填色/大面积上色群,笔头表现,7,2,235,9,0.029787234042553193,4.222222222222222
填色/大面积上色群,绘画表现,6,25,235,26,0.02553191489361702,4.538461538461538
填色/大面积上色群,色彩饱和度与混合,5,20,235,24,0.02127659574468085,4.666666666666667
填色/大面积上色群,墨水特性,3,27,235,30,0.01276595744680851,4.466666666666667
填色/大面积上色群,性价比,3,27,235,30,0.01276595744680851,4.6
填色/大面积上色群,表面/介质表现,1,0,235,1,0.00425531914893617,4.0
填色/大面积上色群,外观与包装,1,3,235,4,0.00425531914893617,4.5
填色/大面积上色群,购买与服务体验,1,3,235,4,0.00425531914893617,4.75
填色/大面积上色群,颜色种类,0,9,235,9,0.0,4.555555555555555
填色/大面积上色群,色彩一致性,0,3,235,3,0.0,4.0
填色/大面积上色群,色系评价,0,6,235,6,0.0,5.0
填色/大面积上色群,场景表现,0,9,235,9,0.0,4.666666666666667
填色/大面积上色群,多样性与适配性,0,2,235,2,0.0,1.5
填色/大面积上色群,教育与启发,0,20,235,20,0.0,4.6
填色/大面积上色群,容量,0,2,235,2,0.0,5.0
多表面diy/定制群,流畅性,121,276,3598,382,0.033629794330183434,4.5942408376963355
多表面diy/定制群,笔头耐用性,93,80,3598,166,0.02584769316286826,4.4156626506024095
多表面diy/定制群,色彩饱和度与混合,82,174,3598,243,0.022790439132851583,4.5473251028806585
多表面diy/定制群,性价比,71,213,3598,271,0.019733185102834908,4.479704797047971
多表面diy/定制群,绘画表现,48,209,3598,240,0.013340744858254585,4.641666666666667
多表面diy/定制群,墨水特性,45,243,3598,277,0.012506948304613675,4.581227436823105
