primary_segment,profile_dimension,profile_label,hit_count,segment_count,pct
儿童/课堂使用群,购买动机,送礼需求,100,1173,0.08525149190110827
填色/大面积上色群,购买动机,送礼需求,14,235,0.059574468085106386
多表面diy/定制群,购买动机,送礼需求,102,3598,0.028349082823790995
精细绘画/插画创作群,购买动机,送礼需求,13,721,0.018030513176144243
纸面手账/装饰书写群,购买动机,送礼需求,18,454,0.039647577092511016
儿童/课堂使用群,购买动机,入门尝试,115,1173,0.09803921568627451
填色/大面积上色群,购买动机,入门尝试,27,235,0.1148936170212766
多表面diy/定制群,购买动机,入门尝试,429,3598,0.11923290717065037
精细绘画/插画创作群,购买动机,入门尝试,93,721,0.1289875173370319
纸面手账/装饰书写群,购买动机,入门尝试,47,454,0.10352422907488987
儿童/课堂使用群,购买动机,兴趣放松/疗愈,2,1173,0.0017050298380221654
填色/大面积上色群,购买动机,兴趣放松/疗愈,1,235,0.00425531914893617
多表面diy/定制群,购买动机,兴趣放松/疗愈,3,3598,0.0008337965536409116
精细绘画/插画创作群,购买动机,兴趣放松/疗愈,1,721,0.0013869625520110957
纸面手账/装饰书写群,购买动机,兴趣放松/疗愈,0,454,0.0
儿童/课堂使用群,购买动机,专业创作/作品产出,17,1173,0.014492753623188406
填色/大面积上色群,购买动机,专业创作/作品产出,2,235,0.00851063829787234
多表面diy/定制群,购买动机,专业创作/作品产出,30,3598,0.008337965536409116
精细绘画/插画创作群,购买动机,专业创作/作品产出,40,721,0.05547850208044383
纸面手账/装饰书写群,购买动机,专业创作/作品产出,8,454,0.01762114537444934
儿童/课堂使用群,购买动机,价格敏感,73,1173,0.06223358908780904
填色/大面积上色群,购买动机,价格敏感,17,235,0.07234042553191489
多表面diy/定制群,购买动机,价格敏感,190,3598,0.0528071150639244
精细绘画/插画创作群,购买动机,价格敏感,42,721,0.05825242718446602
纸面手账/装饰书写群,购买动机,价格敏感,27,454,0.05947136563876652
儿童/课堂使用群,介质偏好,纸张/卡纸,26,1173,0.02216538789428815
填色/大面积上色群,介质偏好,纸张/卡纸,9,235,0.03829787234042553
多表面diy/定制群,介质偏好,纸张/卡纸,117,3598,0.032518065591995556
精细绘画/插画创作群,介质偏好,纸张/卡纸,27,721,0.03744798890429958
纸面手账/装饰书写群,介质偏好,纸张/卡纸,53,454,0.11674008810572688
儿童/课堂使用群,介质偏好,深色纸,6,1173,0.005115089514066497
填色/大面积上色群,介质偏好,深色纸,5,235,0.02127659574468085
多表面diy/定制群,介质偏好,深色纸,15,3598,0.004168982768204558
精细绘画/插画创作群,介质偏好,深色纸,10,721,0.013869625520110958
纸面手账/装饰书写群,介质偏好,深色纸,17,454,0.037444933920704845
儿童/课堂使用群,介质偏好,木石材,10,1173,0.008525149190110827
填色/大面积上色群,介质偏好,木石材,6,235,0.02553191489361702
多表面diy/定制群,介质偏好,木石材,798,3598,0.22178988326848248
精细绘画/插画创作群,介质偏好,木石材,5,721,0.006934812760055479
纸面手账/装饰书写群,介质偏好,木石材,5,454,0.011013215859030838
儿童/课堂使用群,介质偏好,玻璃陶瓷,3,1173,0.0025575447570332483
填色/大面积上色群,介质偏好,玻璃陶瓷,1,235,0.00425531914893617
多表面diy/定制群,介质偏好,玻璃陶瓷,258,3598,0.0717065036131184
精细绘画/插画创作群,介质偏好,玻璃陶瓷,3,721,0.004160887656033287
纸面手账/装饰书写群,介质偏好,玻璃陶瓷,2,454,0.004405286343612335
