review_id,sentence_id,sentence_index,primary_segment,Asin,Brand,Nation,Rating,sentence_polarity,sentiment_type,feature_dimension,feature_tag,matched_keywords,Sentence,Content
3,3_3,3,,B001ANVDMA,posca,US,5,0.0,positive,流畅性,正面-书写流畅,smooth flow,Very smooth flow.,"These markers are great, I swatched them on white and black paper? There's a good variety of colours and they're opaque and bright. Very smooth flow. I plan to use on a variety of surfaces."
5,5_1,1,,B001ANVDMA,posca,US,1,0.0,negative,色彩饱和度与混合,负面-遮盖力差/透明,watery,"What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware.","What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware. The colors are so weak, extremely disappointed. I don’t understand what the hype is about these pens, but I won’t be buying Posca pens ever again. Completely Ruined my art work. Full on rip off."
5,5_1,1,,B001ANVDMA,posca,US,1,0.0,negative,外观与包装,负面-标签与真伪争议 (针对海外版/进口版),counterfeit,"What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware.","What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware. The colors are so weak, extremely disappointed. I don’t understand what the hype is about these pens, but I won’t be buying Posca pens ever again. Completely Ruined my art work. Full on rip off."
5,5_5,5,,B001ANVDMA,posca,US,1,0.0,negative,性价比,负面-价格昂贵,rip off,Full on rip off.,"What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware. The colors are so weak, extremely disappointed. I don’t understand what the hype is about these pens, but I won’t be buying Posca pens ever again. Completely Ruined my art work. Full on rip off."
11,11_1,1,,B001ANVDMA,posca,US,5,0.0,positive,颜色种类,正面-套装/数量选择满意,bought all sizes,I bought all sizes of these markers after seeing some videos of what they can do and I was not disappointed with my purchase.,"I bought all sizes of these markers after seeing some videos of what they can do and I was not disappointed with my purchase. I haven't had any troubles with them ""gushing out"" like I have read. The colors are vibrant and cover in one coat from my experience. I am excited to try these on some different surfaces."
11,11_3,3,,B001ANVDMA,posca,US,5,0.0,positive,色彩饱和度与混合,正面-遮盖力强/不透明,cover in one coat,The colors are vibrant and cover in one coat from my experience.,"I bought all sizes of these markers after seeing some videos of what they can do and I was not disappointed with my purchase. I haven't had any troubles with them ""gushing out"" like I have read. The colors are vibrant and cover in one coat from my experience. I am excited to try these on some different surfaces."
14,14_2,2,多表面diy/定制群,B001ANVDMA,posca,US,5,0.0,positive,笔头耐用性,正面-坚固抗损,doesn t break,The tips of the markers are durable and doesn't break easily like other markers I tried.,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
14,14_2,2,多表面diy/定制群,B001ANVDMA,posca,US,5,0.0,negative,笔身与易用性,负面-材质/做工差,break,The tips of the markers are durable and doesn't break easily like other markers I tried.,"I used Posca markers to paint on wooden pen holder, These are the best paint markers I've ever tried! The tips of the markers are durable and doesn't break easily like other markers I tried. Also the paint won't fade or change color by time. I recommend that you use a piece of plastic film to blend the colors on it and use it as a palette before you apply it on your project."
18,18_2,2,,B001ANVDMA,posca,US,5,0.0,negative,流畅性,负面-出墨过多/漏墨,bleed through,These didn't run or bleed through anything I painted.,I'm addicted now.  These didn't run or bleed through anything I painted.  I will be buying many more soon!
18,18_2,2,,B001ANVDMA,posca,US,5,0.0,negative,场景表现,负面-不适合着色书/填色,bleed through,These didn't run or bleed through anything I painted.,I'm addicted now.  These didn't run or bleed through anything I painted.  I will be buying many more soon!
21,21_2,2,,B001ANVDMA,posca,US,4,0.0,positive,笔身与易用性,正面-材质/做工好,built to last,"Fun to use, built to last","High quality. Fun to use, built to last"
