review_id,Asin,Brand,Nation,Rating,Content
1,B001ANVDMA,posca,US,5,開けてすぐにインクがでないので、ペンを振り撒くりました。<br>インクが馴染むの時間がかかります。何本もあって疲れました。<br>書き心地は、最高にいいです！！
2,B001ANVDMA,posca,US,5,I like everything about these paint pens
3,B001ANVDMA,posca,US,5,"These markers are great, I swatched them on white and black paper? There's a good variety of colours and they're opaque and bright. Very smooth flow. I plan to use on a variety of surfaces."
4,B001ANVDMA,posca,US,5,Excelent markers and very versatile !!
5,B001ANVDMA,posca,US,1,"What a freaking joke, these pens must be counterfeit, they leak gobs of watery weak color, buyer beware. The colors are so weak, extremely disappointed. I don’t understand what the hype is about these pens, but I won’t be buying Posca pens ever again. Completely Ruined my art work. Full on rip off."
7,B001ANVDMA,posca,US,5,1本1本買うよりセットのほうが安かったのでこちらを購入しました。<br>びっくりするくらい捨て色がない！よく使用するカラーばかりがセットになっているのでとても重宝しています。<br>特に肌色が入っているのがとても助かりました！普通こういうセットって肌色って省かれちゃいますよね、すごくよく使う色なのに！<br>プラ板用に購入しましたが娘がお絵かきや工作にも使っています。<br>太字と悩みましたが細字にして正解でした。細かいところも塗りやすいサイズです。
8,B001ANVDMA,posca,US,4,Great for times you need to get into smaller areas.
10,B001ANVDMA,posca,US,2,"These are much smaller than they look in the product photo :-(  I paid more for this brand because of the size. Very misleading photos in their ad. My hand is at the bottom of the attached photo, I held it up to the monitor."
11,B001ANVDMA,posca,US,5,"I bought all sizes of these markers after seeing some videos of what they can do and I was not disappointed with my purchase. I haven't had any troubles with them ""gushing out"" like I have read. The colors are vibrant and cover in one coat from my experience. I am excited to try these on some different surfaces."
12,B001ANVDMA,posca,US,2,Le produit est sympa mais ne réagit pas comme les posca que j'ai vu auparavant: il laisse des traces et la mine devient vite sèche. Lorsque je secoue le feutre la peinture m'éclabousse une fois sur trois.
13,B001ANVDMA,posca,US,4,Non adatti a colorare grandi disegni perché sono muniti di una punta piccola e contengono poco inchiostro. Vanno bene per piccoli disegni o scritte. Del resto molto belli e funzionanti. Il prezzo è ottimo.
16,B001ANVDMA,posca,US,5,Bought as gift for 10 yr old. He loved them. Worked great.
17,B001ANVDMA,posca,US,5,"je connaissais déjà cette marque de feutres pour peindre. mes petites filles sont ravies, utilisation facile et très beau rendu des couleurs"
18,B001ANVDMA,posca,US,5,I'm addicted now.  These didn't run or bleed through anything I painted.  I will be buying many more soon!
19,B001ANVDMA,posca,US,5,Nice
20,B001ANVDMA,posca,US,5,Exactly what I expected
21,B001ANVDMA,posca,US,4,"High quality. Fun to use, built to last"
24,B001ANVDMA,posca,US,5,As described
25,B001ANVDMA,posca,US,5,"These pens are perfect for what I want them for.....they come highly recommended by a well-known acrylic artist, Ginger Cook. I haven't used them a lot yet, but I like what I see so far. Other brands apparently dry up very quickly....these don't."
26,B001ANVDMA,posca,US,5,I have not used them enough to know a lot about them yet. But the one I played around with worked great!
27,B001ANVDMA,posca,US,5,15色くらいあれば、大体の色に対応できるかなと見込んで買いましたが、大当たりでした。あ、でもラメポスカも買ったのでその役割も大きかったかも。茶色でこげ茶があると助かるな～と何回か思いましたが、基本的にはこのセットで充分です！
28,B001ANVDMA,posca,US,5,"love these pens! they cover well, don't run, and quickly dry to a matte finish."
29,B001ANVDMA,posca,US,5,These paints work really well and they are thick. Limited palette means I'll have to rethink future illustrations but that's apart of the challenge. I enjoy using them on watercolor paper but they are versatile and don't bleed.
30,B001ANVDMA,posca,US,5,Best paint markers period!  These have the deep pigment that covers well and maintains the gorgeous colors you started with.  They don't run and they have a nice firm tip for delicate work.
31,B001ANVDMA,posca,US,5,Tip top pour les impressions 3d
33,B001ANVDMA,posca,US,5,"El producto llegó en perfecto estado y tiempo razonable. Según mi sobrinita de 8 años, estos son los mejores."
35,B001ANVDMA,posca,US,5,Works amazing and looks super cool!
36,B001ANVDMA,posca,US,5,My 7th grader loves to draw &amp; he loves using this brand very much!
37,B001ANVDMA,posca,US,5,These are pretty cool
